CustomerID,CustomerName,Email,Country,Age,PurchaseAmount,OrderDate,ValidEmail
2409.0,Unknown,,Uganda,37.0,2533.0,,False
2135.0,Mike,mary@yahoo.com,Kenya,62.0,41623.0,2024-05-12,True
2647.0,Mary,,Tanzania,22.0,1406.0,,False
1697.0,Unknown,,Unknown,49.0,14641.0,2024-05-12,False
1111.0,Unknown,,Rwanda,23.0,38760.0,2024-05-12,False
1000.0,Unknown,mary@yahoo.com,Unknown,47.0,23583.0,,True
1640.0,Jane,invalid_email,Unknown,43.0,15807.0,2024-01-01,False
1218.0,John,invalid_email,Rwanda,54.0,3727.0,,False
2588.0,John,john@gmail.com,Unknown,30.0,24376.0,2024-01-01,True
1853.0,Unknown,mary@yahoo.com,Tanzania,46.0,43101.0,2024-01-01,True
2758.0,Mary,john@gmail.com,Kenya,22.0,42630.0,,True
2247.0,Unknown,,Unknown,42.0,43041.0,2025-02-20,False
1383.0,Alice,,Rwanda,30.0,49084.0,2025-02-20,False
2425.0,John,john@gmail.com,Tanzania,41.0,48133.0,2025-02-20,True
2660.0,Mike,,Unknown,48.0,3848.0,2024-05-12,False
2152.0,Alice,mary@yahoo.com,Uganda,37.0,39199.0,,True
2706.0,Unknown,mary@yahoo.com,Unknown,25.0,37165.0,,True
1728.0,Peter,,Tanzania,26.0,24376.0,,False
2694.0,Jane,,Kenya,38.0,28121.0,,False
2732.0,Alice,,Kenya,68.0,27990.0,,False
2438.0,Jane,mary@yahoo.com,Kenya,37.0,49180.0,2025-02-20,True
1245.0,Unknown,mary@yahoo.com,Unknown,32.0,22059.0,2024-05-12,True
1834.0,Alice,john@gmail.com,Uganda,43.0,47291.0,2024-05-12,True
1201.0,Peter,john@gmail.com,Uganda,59.0,45251.0,,True
2206.0,John,invalid_email,Kenya,28.0,29420.0,2025-02-20,False
1121.0,Unknown,invalid_email,Unknown,54.0,48133.0,2024-01-01,False
1399.0,Peter,invalid_email,Tanzania,58.0,49316.0,2024-01-01,False
1765.0,Unknown,mary@yahoo.com,Unknown,28.0,6365.0,,True
1292.0,John,mary@yahoo.com,Unknown,44.0,26039.0,2025-02-20,True
1278.0,Unknown,john@gmail.com,Kenya,47.0,37919.0,2024-01-01,True
1882.0,Unknown,john@gmail.com,Kenya,51.0,5775.0,2024-05-12,True
2632.0,Unknown,invalid_email,Kenya,55.0,9368.0,2025-02-20,False
1196.0,Jane,john@gmail.com,Rwanda,40.0,21877.0,2024-01-01,True
2929.0,Peter,mary@yahoo.com,Rwanda,18.0,17668.0,2025-02-20,True
2533.0,Alice,john@gmail.com,Uganda,20.0,18531.0,,True
